"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Vladimir Guerrero Jr.","TOR","156","682","26","9.8%","14.7%",".179",".277",".264",".345",".444",".340",".374","118","-7.1","7.5","-20.8","1.0",".788","14.5%","95","12.1","2.47","28.1%","72.7%","50.6%","56.5%","87.1%","78.7%","50.4%","-4.0","42.3%","22.7%","92.1","10.5","11.1%","116.7","49.2%","506","23.6%",".291",".494","19611","665489"
"Ryan O'Hearn","BAL","112","368","14","4.1%","22.3%",".191",".340",".289",".322",".480",".339",".326","118","-0.4","7.7","-5.8","1.4",".801","14.4%","51","6.4","2.53","32.0%","69.2%","50.6%","61.2%","87.5%","79.2%","50.0%","-1.5","38.8%","26.1%","91.9","12.0","10.1%","109.7","51.5%","268","24.7%",".263",".464","16442","656811"
"Brandon Drury","LAA","125","523","26","4.8%","26.0%",".235",".308",".262",".306",".497",".339",".319","114","-4.1","4.7","2.4","2.5",".803","19.1%","73","9.0","-0.66","34.2%","68.7%","51.6%","48.5%","83.6%","72.1%","50.5%","-1.4","41.5%","22.9%","89.9","11.8","11.0%","112.5","46.3%","354","29.8%",".253",".439","11615","592273"
"Mickey Moniak","LAA","85","323","14","2.8%","35.0%",".215",".397",".280",".307",".495",".339",".309","114","0.0","5.4","-0.9","1.5",".802","16.1%","45","5.6","1.60","48.0%","76.1%","61.3%","47.3%","76.0%","64.1%","47.2%","0.0","46.5%","21.2%","89.0","19.7","12.6%","110.5","36.9%","198","31.9%",".245",".450","19956","666160"
"Luis Rengifo","LAA","126","445","16","9.2%","18.4%",".180",".293",".264",".339",".444",".339",".323","114","0.1","7.6","-3.3","1.9",".783","13.9%","62","7.6","1.12","29.0%","72.5%","50.1%","56.1%","85.5%","76.7%","48.5%","0.6","42.1%","24.1%","89.1","11.0","7.6%","109.1","36.1%","316","24.4%",".244",".398","19858","650859"
"Masataka Yoshida","BOS","140","580","15","5.9%","14.0%",".156",".316",".289",".338",".445",".339",".324","109","-5.0","1.6","-14.9","0.6",".783","12.2%","80","9.7","-0.85","26.0%","57.9%","43.3%","71.5%","87.4%","83.1%","54.4%","-2.8","36.5%","28.4%","89.0","3.9","6.6%","112.3","40.6%","458","28.5%",".269",".419","31837","807799"
"Jake Fraley","CIN","111","380","15","9.7%","18.7%",".188",".283",".256",".339",".443",".338",".328","107","1.9","5.1","-3.5","1.4",".783","14.4%","53","6.3","1.65","29.9%","74.6%","52.0%","58.9%","84.8%","77.3%","49.6%","-0.2","47.4%","19.6%","84.5","16.4","6.0%","111.7","30.5%","266","23.8%",".261",".399","19260","641584"
"Donovan Solano","MIN","134","450","5","8.9%","22.2%",".109",".366",".282",".369",".391",".338",".349","116","-2.7","6.2","-9.1","1.2",".760","5.2%","62","7.3","0.59","31.3%","63.0%","47.4%","58.3%","86.7%","77.5%","50.8%","-1.8","35.3%","22.4%","90.2","13.1","6.1%","109.8","43.4%","295","28.6%",".280",".419","8623","456781"
"Bryan Reynolds","PIT","145","640","24","8.3%","21.6%",".197",".304",".263",".330",".460",".338",".359","110","1.9","9.9","-8.8","2.3",".790","16.4%","88","10.2","0.75","27.0%","71.1%","47.4%","47.0%","85.3%","73.6%","46.3%","1.5","39.4%","27.4%","90.9","10.9","11.1%","112.6","47.1%","442","26.2%",".278",".488","19326","668804"
"Logan O'Hoppe","LAA","51","199","14","7.0%","24.1%",".264",".240",".236",".296",".500",".337",".352","113","-1.6","1.4","-5.7","0.2",".796","21.5%","27","3.0","-0.47","33.1%","68.3%","51.5%","38.3%","82.7%","69.1%","52.3%","-0.9","56.3%","15.6%","90.5","19.6","15.6%","110.4","46.7%","135","30.0%",".260",".504","24729","681351"
