"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Luis Matos","SFG","76","253","2","7.9%","13.0%",".092",".285",".250",".319",".342",".295",".308","87","-0.9","-5.1","-7.8","-0.4",".661","2.7%","26","-4.9","-0.48","23.3%","66.1%","46.2%","64.3%","91.2%","84.9%","53.4%","-1.3","42.1%","17.3%","87.1","6.3","2.0%","108.4","31.0%","197","23.0%",".260",".360","26467","682641"
"Mike Moustakas","- - -","112","386","12","6.0%","24.6%",".145",".296",".247",".293",".392",".294",".268","77","-1.3","-11.9","-5.3","-0.4",".685","10.1%","39","-7.8","-1.69","35.0%","69.0%","53.0%","54.5%","83.5%","74.5%","53.0%","-1.1","40.4%","26.4%","89.0","18.0","5.7%","112.9","37.0%","265","27.8%",".213",".348","4892","519058"
"Nick Madrigal","CHC","92","294","2","3.4%","8.2%",".089",".283",".263",".311",".352",".294",".294","83","-1.5","-7.7","7.1","0.9",".663","3.3%","30","-6.0","-0.72","31.8%","56.8%","44.7%","83.5%","96.8%","92.2%","51.6%","-2.8","36.7%","25.9%","86.2","3.7","0.8%","106.9","27.5%","251","26.4%",".273",".334","20521","663611"
"Kyle Higashioka","NYY","92","260","10","5.4%","28.5%",".178",".292",".236",".274",".413",".293",".307","86","-1.1","-5.3","13.4","1.7",".687","14.3%","26","-5.4","-0.13","31.5%","65.2%","49.2%","45.7%","85.6%","73.4%","52.6%","-0.9","52.9%","19.8%","90.1","15.5","11.1%","109.2","48.3%","172","30.0%",".237",".436","5517","543309"
"Reese McGuire","BOS","72","206","1","5.3%","25.7%",".091",".366",".267",".310",".358",".293",".238","78","-2.1","-7.5","3.9","0.3",".668","3.0%","21","-4.3","-0.81","43.5%","61.8%","52.6%","65.9%","88.1%","78.9%","49.7%","-2.2","39.4%","27.0%","84.0","2.8","2.8%","107.3","25.5%","141","28.7%",".202",".272","15674","624512"
"Dylan Carlson","STL","76","255","5","10.2%","19.2%",".114",".256",".219",".318",".333",".293",".320","84","0.1","-5.0","-2.1","0.2",".651","7.6%","26","-5.4","-0.92","24.6%","68.1%","45.9%","63.4%","86.0%","79.8%","49.1%","0.0","34.7%","26.0%","89.3","15.0","5.8%","109.1","37.0%","173","25.7%",".237",".379","20126","666185"
"Pavin Smith","ARI","69","228","7","15.4%","19.7%",".136",".209",".188",".317",".325",".293",".329","81","-0.6","-5.9","-9.9","-0.8",".642","12.7%","23","-4.8","-0.50","21.8%","60.0%","40.4%","53.4%","91.5%","81.0%","48.8%","-0.1","33.6%","19.9%","89.9","13.8","7.5%","110.7","41.5%","147","27.5%",".223",".387","19892","656976"
"Matt Carpenter","SDP","76","237","5","17.3%","28.3%",".144",".231",".176",".322",".319",".293",".310","86","-0.2","-4.1","-7.1","-0.3",".641","7.0%","24","-5.1","-0.71","23.2%","57.8%","40.1%","45.8%","85.0%","73.5%","49.0%","-0.8","54.8%","20.6%","87.0","24.4","11.0%","107.6","30.7%","127","29.9%",".171",".336","8090","572761"
"Daulton Varsho","TOR","158","581","20","7.7%","23.2%",".169",".256",".220",".285",".389",".293",".303","85","2.8","-7.5","9.1","2.1",".674","11.2%","58","-12.5","-2.20","28.2%","68.4%","49.4%","58.1%","86.1%","78.6%","52.8%","2.1","50.8%","23.0%","87.8","20.5","7.3%","112.5","36.0%","397","25.7%",".232",".391","19918","662139"
"Ildemaro Vargas","WSN","86","286","4","6.6%","7.0%",".111",".259",".252",".304",".363",".292",".299","81","-2.7","-9.6","1.1","0.1",".666","6.3%","29","-6.2","-0.60","28.8%","60.7%","45.5%","78.6%","93.6%","89.1%","52.4%","-0.8","43.9%","19.5%","87.1","4.1","2.4%","111.0","30.9%","246","25.1%",".261",".358","13324","545121"
"Connor Wong","BOS","126","403","9","5.5%","33.3%",".151",".341",".235",".288",".385",".292",".274","78","1.1","-9.7","0.8","0.5",".673","10.8%","40","-8.7","-2.45","35.2%","68.0%","52.3%","47.3%","80.4%","69.7%","52.1%","-0.1","45.6%","22.8%","89.1","15.5","9.1%","113.6","37.8%","241","30.6%",".208",".360","19896","657136"
"Nick Pratto","KCR","95","345","7","8.4%","40.0%",".121",".388",".232",".307",".353",".292",".277","79","-0.5","-9.0","-8.5","-0.6",".660","11.1%","35","-7.5","-1.21","28.5%","57.1%","43.1%","35.6%","81.8%","66.9%","51.2%","-0.4","39.5%","24.4%","87.5","13.4","8.1%","107.6","41.9%","172","36.3%",".207",".333","22117","668472"
"Owen Miller","MIL","90","314","5","5.4%","19.4%",".110",".310",".261",".303",".371",".292",".287","81","1.8","-5.7","4.3","0.9",".674","5.7%","31","-6.9","-0.63","32.2%","62.4%","48.3%","73.7%","87.2%","83.0%","53.4%","0.5","36.8%","22.7%","86.3","12.9","3.4%","107.5","30.8%","234","26.8%",".251",".354","24655","680911"
"David Peralta","LAD","133","422","7","4.7%","17.1%",".122",".296",".259",".294",".381",".290",".310","82","-4.1","-13.4","0.0","0.1",".675","7.1%","42","-9.8","0.31","35.0%","72.3%","54.5%","60.4%","87.6%","79.3%","52.4%","-3.9","40.9%","25.3%","89.3","8.2","4.9%","111.5","43.9%","328","24.5%",".272",".399","2136","444482"
"Shea Langeliers","OAK","135","490","22","6.9%","29.2%",".208",".246",".205",".268",".413",".290",".303","87","-2.3","-10.0","0.6","0.7",".681","14.7%","48","-11.4","-0.02","31.0%","67.9%","50.2%","47.4%","77.7%","68.7%","52.1%","-1.5","46.1%","24.4%","90.6","19.6","13.3%","113.4","44.2%","308","30.3%",".216",".429","25816","669127"
"Anthony Volpe","NYY","159","601","21","8.7%","27.8%",".174",".259",".209",".283",".383",".290",".307","84","3.5","-7.8","6.2","1.9",".666","15.2%","59","-14.0","-0.93","27.6%","66.5%","47.6%","49.7%","82.6%","73.4%","51.6%","1.9","45.6%","22.0%","88.7","14.2","9.0%","108.7","42.7%","377","29.6%",".229",".391","27647","683011"
"Elvis Andrus","CHW","112","406","6","6.2%","17.5%",".107",".294",".251",".304",".358",".290",".267","81","0.9","-8.3","6.0","1.1",".662","7.1%","40","-9.5","-1.78","27.8%","60.6%","44.9%","66.5%","88.3%","81.8%","52.1%","2.1","42.2%","26.1%","87.5","5.5","2.6%","109.4","31.1%","306","27.6%",".230",".311","8709","462101"
"Esteury Ruiz","OAK","132","497","5","4.0%","19.9%",".091",".315",".254",".309",".345",".290",".273","86","9.2","1.1","-5.8","1.2",".654","5.0%","49","-11.9","0.00","33.6%","67.1%","50.1%","55.9%","86.6%","76.2%","49.5%","1.5","39.4%","27.0%","82.7","9.9","2.5%","109.5","19.3%","362","27.4%",".235",".317","21780","665923"
"Jake McCarthy","ARI","99","312","2","8.3%","19.9%",".083",".305",".243",".318",".326",".289",".293","79","4.1","-4.2","-5.1","0.1",".644","3.5%","30","-7.6","0.04","31.9%","67.7%","50.0%","59.6%","90.4%","80.6%","50.4%","0.9","37.9%","28.8%","85.3","7.5","2.3%","108.5","23.3%","219","24.0%",".244",".328","21622","664983"
"Zach McKinstry","DET","148","518","9","8.5%","21.8%",".121",".284",".231",".302",".351",".289",".311","81","1.7","-10.0","4.3","1.2",".654","5.9%","50","-12.7","-1.85","28.3%","65.7%","47.0%","63.6%","89.8%","81.9%","50.0%","0.9","35.4%","27.0%","87.2","17.8","7.6%","108.3","33.2%","356","25.0%",".245",".389","19392","656716"
"Nicky Lopez","- - -","94","262","1","9.9%","15.3%",".076",".276",".231",".326",".307",".288",".288","77","0.3","-7.1","8.9","1.1",".632","2.6%","25","-6.5","0.30","28.4%","67.1%","47.9%","62.5%","87.0%","79.8%","50.3%","0.3","36.8%","26.8%","86.7","0.5","1.1%","107.8","23.7%","190","26.1%",".231",".300","19339","670032"
"Rowdy Tellez","MIL","106","351","13","10.0%","24.5%",".161",".249",".215",".291",".376",".288",".303","78","-4.0","-13.5","-7.7","-0.9",".667","13.1%","34","-8.8","-1.44","24.9%","51.1%","38.5%","61.7%","88.2%","80.0%","52.0%","-1.9","38.3%","21.7%","89.9","15.2","8.7%","114.8","40.0%","230","30.9%",".232",".365","15679","642133"
"Yasmani Grandal","CHW","118","405","8","8.9%","21.2%",".105",".284",".234",".309",".339",".288",".278","80","-6.1","-16.0","1.7","-0.1",".647","7.8%","39","-10.3","-2.22","29.7%","58.7%","44.7%","62.0%","84.8%","77.5%","51.9%","-4.7","40.1%","24.7%","87.9","10.8","4.7%","110.4","34.4%","279","28.8%",".216",".324","11368","518735"
"Henry Davis","PIT","62","255","7","9.8%","27.1%",".138",".273",".213",".302",".351",".287",".288","76","-2.1","-9.5","-8.9","-1.0",".653","12.1%","25","-6.5","-1.13","30.9%","59.0%","44.5%","53.7%","85.8%","74.3%","48.5%","-0.4","49.0%","17.8%","88.6","12.5","7.0%","109.9","41.4%","157","29.5%",".220",".338","29617","680779"
"Josh Smith","TEX","90","232","6","10.8%","23.7%",".144",".222",".185",".304",".328",".287",".323","78","-1.3","-7.6","-0.5","0.0",".633","10.5%","22","-6.0","-1.17","22.0%","59.6%","41.9%","58.4%","89.0%","81.4%","52.9%","-1.5","44.1%","23.8%","88.5","12.5","10.5%","109.8","36.4%","143","27.3%",".210",".389","26396","669701"
"Taylor Walls","TBR","99","349","8","12.6%","26.4%",".132",".261",".201",".305",".333",".287",".278","85","6.5","0.1","-2.2","1.0",".638","8.2%","33","-9.1","0.18","17.9%","64.9%","42.8%","50.0%","82.6%","76.1%","52.8%","1.4","35.9%","23.6%","86.7","19.1","3.3%","104.8","28.3%","212","27.9%",".202",".300","22458","670764"
"Yuli Gurriel","MIA","108","329","4","7.9%","13.4%",".114",".272",".245",".304",".359",".287",".272","77","-0.4","-9.8","-6.2","-0.5",".663","3.6%","31","-8.6","-1.77","29.7%","62.7%","46.8%","73.5%","90.7%","85.4%","51.8%","1.1","39.5%","26.7%","88.6","16.5","1.9%","107.9","34.5%","258","26.2%",".234",".317","19198","493329"
"Isiah Kiner-Falefa","NYY","115","361","6","7.8%","19.4%",".098",".289",".242",".306",".340",".286",".292","82","-2.6","-10.5","-0.2","0.2",".646","9.1%","34","-9.6","-0.85","27.5%","59.0%","44.7%","62.6%","89.5%","82.0%","54.5%","-0.7","35.0%","25.8%","88.8","7.2","3.1%","109.6","38.9%","260","28.1%",".250",".340","16512","643396"
"Kyle Isbel","KCR","91","313","5","5.4%","18.8%",".140",".283",".240",".282",".380",".286",".286","75","4.2","-5.1","5.7","1.1",".662","5.1%","30","-8.4","-1.91","31.4%","60.8%","46.5%","59.9%","92.3%","81.7%","51.4%","3.0","41.5%","23.7%","89.4","14.6","5.5%","110.6","39.8%","236","27.7%",".244",".365","21614","664728"
"Kole Calhoun","CLE","43","174","6","7.5%","21.3%",".159",".241",".217",".282",".376",".286",".302","81","0.2","-3.7","-2.9","-0.1",".657","10.7%","17","-4.7","-0.16","28.9%","71.7%","48.2%","61.1%","87.7%","79.0%","45.1%","0.8","44.3%","21.3%","86.6","19.9","6.6%","106.0","35.3%","122","24.1%",".234",".393","11200","594777"
"Corey Julks","HOU","93","323","6","6.8%","23.2%",".107",".306",".245",".297",".352",".286",".294","80","0.7","-7.0","-1.4","0.2",".650","6.9%","31","-8.8","-0.96","30.2%","61.7%","45.8%","58.9%","85.2%","76.4%","49.5%","-0.3","39.6%","25.8%","87.9","17.0","4.9%","111.2","35.6%","225","29.2%",".246",".368","20311","667452"
"Carlos Perez","OAK","68","189","6","6.9%","21.2%",".131",".256",".226",".293",".357",".285",".310","84","-0.7","-4.5","-1.3","0.1",".650","11.1%","18","-5.2","0.15","28.8%","62.5%","45.8%","61.0%","89.7%","80.8%","50.5%","-0.6","58.3%","12.1%","89.2","16.0","5.3%","108.0","39.4%","132","27.1%",".254",".381","10642","542208"
"Santiago Espinal","TOR","93","254","2","7.1%","14.2%",".087",".285",".248",".310",".335",".285",".290","80","0.4","-5.6","-1.8","0.1",".644","3.0%","24","-7.0","-1.18","24.7%","61.7%","44.1%","70.7%","88.8%","83.9%","52.5%","0.6","42.1%","25.4%","87.0","11.4","1.0%","106.8","29.4%","197","27.4%",".251",".329","19997","669289"
"Will Brennan","CLE","138","455","5","3.5%","12.5%",".090",".296",".266",".299",".356",".285",".301","81","1.1","-9.4","1.3","0.7",".655","4.5%","43","-12.6","0.22","39.4%","71.2%","56.6%","71.8%","89.8%","84.1%","54.1%","0.1","34.8%","26.3%","85.7","9.4","2.4%","106.9","29.2%","377","22.5%",".282",".370","25660","686823"
"Josh Donaldson","- - -","51","189","13","11.6%","26.5%",".267",".115",".152",".249",".418",".284",".329","78","-2.7","-7.6","0.8","0.0",".667","25.5%","18","-5.3","-0.78","23.4%","63.8%","44.9%","58.2%","79.8%","74.5%","53.1%","-1.5","48.7%","17.1%","92.1","11.7","16.2%","112.3","51.3%","117","29.1%",".204",".472","5038","518626"
"Joey Wiemer","MIL","132","410","13","8.8%","28.3%",".158",".258",".204",".283",".362",".284",".293","75","0.9","-11.8","8.8","1.1",".645","13.0%","38","-11.8","-0.92","28.5%","65.4%","47.1%","46.9%","77.2%","68.1%","50.4%","-0.6","46.6%","19.0%","89.3","10.5","9.1%","112.8","38.7%","253","32.0%",".210",".376","27690","686894"
"Liover Peguero","PIT","59","213","7","5.2%","31.5%",".136",".320",".237",".280",".374",".284",".266","74","-0.6","-7.5","0.1","0.0",".653","18.4%","20","-6.1","-0.54","30.3%","69.8%","51.3%","47.0%","82.7%","72.8%","53.1%","0.2","41.8%","24.6%","89.3","4.1","5.2%","110.2","39.6%","134","30.1%",".225",".328","24273","678894"
"Josh Rojas","- - -","105","350","4","7.7%","23.1%",".092",".313",".245",".303",".338",".284",".276","78","5.0","-4.7","4.1","1.1",".641","4.7%","32","-10.2","-1.10","28.0%","58.9%","44.0%","60.4%","86.2%","78.3%","51.8%","2.1","41.0%","25.5%","87.1","12.9","3.7%","105.7","28.6%","241","29.5%",".227",".325","19734","668942"
"Michael Massey","KCR","129","461","15","5.2%","21.5%",".152",".261",".229",".274",".381",".283",".320","73","2.1","-12.8","2.4","0.5",".655","10.1%","43","-13.6","-0.75","33.7%","70.0%","51.8%","62.7%","87.7%","79.6%","49.8%","1.2","52.1%","20.7%","88.6","19.7","7.8%","110.3","39.2%","334","24.4%",".259",".431","27684","686681"
"Enrique Hernandez","- - -","140","508","11","6.7%","19.1%",".120",".273",".237",".289",".357",".282",".271","72","-3.1","-20.0","-10.0","-1.3",".646","6.7%","46","-15.4","-1.01","28.1%","64.6%","46.7%","56.3%","87.0%","78.0%","51.1%","-0.2","36.6%","25.9%","87.8","17.0","4.6%","109.2","33.4%","374","28.0%",".222",".333","10472","571771"
"Patrick Bailey","SFG","97","353","7","5.9%","28.3%",".126",".314",".233",".285",".359",".282",".311","78","-0.7","-10.4","26.8","2.8",".644","9.0%","32","-10.7","-0.19","28.8%","62.2%","46.5%","52.9%","86.0%","76.4%","53.0%","-0.6","44.1%","27.1%","88.7","10.2","10.0%","108.6","38.4%","229","29.7%",".247",".411","27478","672275"
"Dominic Canzone","- - -","59","182","6","4.4%","17.6%",".179",".237",".220",".258",".399",".282",".330","79","-1.7","-6.3","-4.4","-0.5",".657","10.7%","17","-5.6","-0.09","40.7%","67.5%","54.4%","63.6%","82.7%","75.7%","50.9%","-1.5","53.2%","20.6%","89.7","16.3","12.1%","111.6","42.6%","141","30.6%",".257",".475","26438","686527"
"Zack Short","DET","112","253","7","11.1%","26.1%",".136",".255",".204",".292",".339",".281",".296","76","-0.6","-8.0","-2.6","-0.2",".631","9.3%","23","-7.8","-0.65","16.9%","62.0%","41.6%","43.6%","83.8%","76.4%","54.7%","-1.8","45.9%","20.8%","87.6","21.2","8.8%","107.0","32.7%","159","28.6%",".211",".359","19562","670097"
"Matt Duffy","KCR","79","209","2","5.7%","18.7%",".073",".303",".251",".306",".325",".281",".296","72","-0.3","-7.4","-0.8","-0.1",".631","4.8%","19","-6.5","-0.47","30.0%","63.0%","48.1%","57.4%","86.5%","78.4%","55.1%","-0.2","35.7%","30.5%","86.4","8.8","2.6%","104.8","32.5%","154","29.1%",".266",".342","13836","622110"
"Alex Call","WSN","128","439","8","12.1%","17.8%",".107",".230",".200",".307",".307",".280",".298","73","0.3","-14.7","3.5","0.4",".614","5.8%","40","-13.9","-0.81","20.4%","58.2%","39.5%","63.0%","89.6%","82.9%","50.7%","0.7","44.4%","20.9%","86.8","17.0","5.3%","108.5","29.8%","302","27.1%",".216",".336","19296","669743"
"Trey Mancini","CHC","79","263","4","8.0%","29.7%",".102",".327",".234",".299",".336",".280",".270","74","-1.8","-10.4","-6.3","-0.8",".635","7.4%","24","-8.4","-0.80","30.1%","68.6%","49.5%","46.5%","80.7%","70.4%","50.4%","-1.5","37.5%","27.5%","88.7","12.2","3.7%","109.1","40.1%","162","29.7%",".212",".323","15149","641820"
"Kevin Pillar","ATL","81","206","9","2.9%","24.3%",".188",".255",".228",".248",".416",".280",".296","71","1.1","-6.2","0.3","0.1",".664","14.8%","18","-6.6","0.48","42.8%","69.4%","56.2%","58.1%","84.9%","74.8%","50.5%","0.3","52.7%","21.3%","87.9","17.8","8.0%","110.2","38.7%","150","27.8%",".255",".416","12434","607680"
"James McCann","BAL","70","226","6","4.0%","25.2%",".155",".274",".222",".269",".377",".279",".319","77","-0.7","-7.0","4.2","0.5",".646","10.2%","20","-7.3","-0.47","38.1%","69.5%","54.1%","44.7%","82.6%","69.4%","50.8%","-0.7","36.1%","21.3%","89.8","16.6","7.1%","112.1","43.9%","155","30.7%",".259",".428","12859","543510"
"Alek Thomas","ARI","125","402","9","4.7%","21.4%",".144",".273",".230",".273",".374",".278",".290","71","3.7","-10.6","1.9","0.5",".647","12.2%","36","-13.4","-0.53","35.0%","61.0%","49.0%","55.0%","87.5%","76.7%","53.6%","2.6","40.6%","22.5%","88.9","2.2","5.1%","110.9","41.0%","293","29.2%",".249",".367","23792","677950"
"Jordan Diaz","OAK","90","293","10","5.8%","23.5%",".143",".258",".221",".273",".364",".278",".285","78","-3.2","-10.8","-8.3","-0.9",".637","16.4%","26","-9.8","-1.44","40.6%","71.9%","56.0%","48.0%","85.4%","71.6%","49.2%","-0.5","42.2%","26.0%","90.0","5.4","6.4%","111.8","43.6%","204","28.1%",".225",".369","22650","672478"
"Starling Marte","NYM","86","341","5","4.7%","20.2%",".076",".303",".248",".301",".324",".278",".315","76","4.1","-6.0","-8.9","-0.3",".625","6.9%","30","-11.5","-1.87","37.3%","69.2%","53.2%","51.5%","87.9%","75.1%","49.9%","1.6","36.3%","29.0%","88.2","6.3","5.7%","110.9","39.5%","248","27.7%",".263",".404","9241","516782"
"Alan Trejo","COL","83","227","4","7.0%","22.5%",".111",".286",".232",".288",".343",".277",".278","56","0.5","-11.8","2.0","-0.2",".631","7.5%","20","-7.7","-0.76","31.5%","67.1%","49.8%","61.9%","88.1%","80.1%","51.4%","-0.3","47.2%","22.0%","85.5","14.6","4.4%","104.2","22.6%","159","24.6%",".233",".333","20056","676701"
"Rodolfo Castro","- - -","92","256","6","9.0%","28.9%",".110",".284",".211",".297",".322",".277",".265","69","-3.8","-13.5","-4.1","-0.9",".618","12.8%","22","-8.8","-1.52","25.2%","68.7%","47.0%","38.1%","79.8%","68.6%","50.2%","-1.9","52.0%","18.2%","87.2","7.6","7.8%","111.5","35.1%","154","29.4%",".185",".318","21987","666801"
"Gabriel Arias","CLE","122","345","10","8.1%","32.8%",".143",".290",".210",".275",".352",".276",".303","74","-1.7","-12.4","4.5","0.4",".628","16.9%","30","-12.2","-2.32","34.1%","75.3%","55.1%","38.7%","76.2%","64.8%","50.9%","0.3","33.0%","27.6%","91.1","3.7","9.9%","114.4","46.3%","203","31.1%",".227",".401","22563","672356"
"Tony Kemp","OAK","124","419","5","10.5%","9.5%",".095",".221",".209",".303",".304",".276",".297","77","-1.1","-12.8","-0.4","0.1",".607","4.7%","36","-14.9","-0.75","23.9%","63.2%","45.4%","73.8%","91.8%","87.5%","54.7%","-1.7","47.7%","15.2%","86.7","10.0","1.2%","103.0","20.1%","329","24.3%",".238",".320","14894","643393"
"Tucupita Marcano","PIT","75","220","3","4.5%","15.9%",".124",".265",".233",".276",".356",".275",".293","68","0.1","-8.6","-3.4","-0.4",".633","4.8%","19","-7.9","-0.47","31.5%","68.7%","50.5%","70.8%","92.2%","85.7%","51.0%","0.0","36.1%","25.0%","88.3","14.4","5.2%","105.5","34.9%","172","21.6%",".246",".370","22871","672779"
"Chad Wallach","LAA","65","172","7","7.6%","33.1%",".178",".258",".197",".259",".376",".275",".289","70","-0.9","-7.1","2.9","0.2",".635","16.3%","15","-6.2","-1.09","26.8%","69.6%","49.5%","32.9%","79.1%","67.4%","53.0%","0.3","41.2%","27.5%","87.7","16.7","10.8%","108.1","32.4%","102","29.7%",".207",".396","17161","595453"
"Jace Peterson","- - -","134","430","6","10.9%","23.5%",".096",".270",".211",".304",".307",".275",".285","74","1.8","-11.6","0.7","0.4",".611","5.7%","37","-15.6","-2.92","22.9%","58.8%","41.4%","50.5%","86.4%","76.8%","51.7%","0.5","36.3%","27.3%","85.7","14.4","4.7%","110.1","28.1%","278","30.0%",".213",".327","12325","607054"
"Mitch Haniger","SFG","61","229","6","6.6%","28.4%",".156",".270",".209",".266",".365",".274",".317","73","0.5","-7.2","-2.7","-0.2",".631","9.4%","20","-8.4","-0.82","26.7%","61.8%","45.8%","42.0%","84.6%","73.4%","54.6%","0.5","42.2%","27.2%","91.0","15.9","10.9%","108.4","46.9%","147","30.8%",".244",".433","14274","571745"
"Christian Arroyo","BOS","66","206","3","3.4%","21.8%",".128",".295",".241",".268",".369",".274",".269","65","-2.3","-11.0","0.0","-0.4",".638","5.5%","18","-7.5","-1.60","40.8%","77.9%","59.6%","58.8%","85.6%","76.6%","50.8%","0.3","39.2%","27.5%","86.3","11.1","4.6%","109.6","32.0%","153","24.1%",".231",".341","16434","624414"
"Ji Hwan Bae","PIT","111","371","2","8.1%","24.8%",".081",".310",".231",".296",".311",".272",".266","66","2.9","-12.7","-2.7","-0.3",".608","3.9%","31","-14.3","-0.62","29.6%","63.7%","46.4%","61.3%","85.2%","77.5%","49.4%","1.8","29.2%","34.8%","88.1","1.1","2.0%","110.2","36.8%","247","26.9%",".224",".291","23818","678225"
"Christian Bethancourt","TBR","104","332","11","3.9%","27.4%",".156",".278",".225",".254",".381",".271",".266","74","-0.9","-11.4","6.1","0.6",".635","13.1%","27","-13.0","-1.13","45.7%","75.9%","59.2%","48.2%","78.9%","65.8%","44.9%","-0.1","50.4%","18.0%","88.6","11.3","7.9%","109.2","40.4%","228","30.0%",".214",".372","10028","542194"
"Jake Cave","PHI","65","203","5","7.4%","27.1%",".136",".270",".212",".272",".348",".271",".283","66","1.1","-7.4","-0.2","-0.1",".620","9.3%","17","-8.0","-1.75","31.4%","65.2%","48.2%","56.3%","86.4%","76.5%","49.8%","0.6","34.1%","31.8%","89.3","15.3","7.6%","107.0","34.9%","132","27.0%",".204",".365","14477","595909"
"Miguel Rojas","LAD","125","423","5","6.1%","11.3%",".086",".255",".236",".290",".322",".271",".291","69","-1.9","-18.1","9.4","0.6",".612","4.2%","35","-16.6","-0.80","32.9%","65.8%","49.5%","68.8%","93.0%","85.0%","50.5%","-0.2","36.3%","29.1%","87.3","11.0","2.9%","108.7","32.0%","344","24.4%",".251",".340","7802","500743"
"Endy Rodriguez","PIT","57","204","3","8.3%","24.0%",".108",".281",".220",".284",".328",".271",".293","65","0.2","-8.5","8.6","0.7",".612","5.2%","17","-8.0","-1.06","27.8%","64.8%","46.1%","58.7%","89.6%","80.2%","49.5%","0.4","50.0%","22.5%","89.1","16.5","5.1%","110.7","36.2%","138","25.4%",".230",".372","25332","682848"
"Harrison Bader","- - -","98","344","7","4.9%","17.2%",".116",".261",".232",".274",".348",".271",".294","70","4.4","-8.1","6.9","1.1",".622","5.7%","28","-13.6","-0.77","35.8%","62.0%","48.5%","58.5%","88.1%","76.8%","48.3%","2.0","42.6%","23.4%","85.9","17.8","5.3%","110.2","31.3%","265","28.5%",".241",".381","18030","664056"
"Jesse Winker","MIL","61","197","1","13.2%","25.9%",".048",".278",".199",".320",".247",".269",".286","65","-1.4","-9.9","-5.2","-0.8",".567","2.4%","16","-8.0","1.06","19.7%","64.5%","42.6%","56.3%","85.8%","79.1%","51.1%","-2.4","42.2%","22.4%","86.8","13.6","4.3%","107.1","31.9%","116","26.0%",".201",".291","13590","608385"
"Myles Straw","CLE","147","518","1","8.1%","18.7%",".058",".295",".238",".301",".297",".268",".275","69","4.2","-15.0","0.9","0.4",".597","0.9%","42","-21.5","-3.73","24.2%","58.1%","43.8%","77.9%","91.5%","88.3%","57.7%","3.3","24.7%","35.3%","86.3","9.4","0.5%","106.2","23.1%","377","26.5%",".241",".301","17620","664702"
"Nick Maton","DET","93","293","8","13.0%","24.9%",".133",".206",".173",".288",".305",".268",".289","67","-0.6","-12.2","-9.1","-1.1",".593","9.4%","24","-12.2","-0.60","26.3%","66.5%","45.0%","51.4%","78.6%","70.1%","46.4%","0.4","38.0%","21.8%","86.1","18.2","8.4%","106.1","31.3%","179","28.7%",".192",".336","21635","665155"
"Aledmys Diaz","OAK","109","344","4","4.9%","19.2%",".108",".273",".229",".280",".337",".268",".273","72","-3.1","-14.8","-0.9","-0.4",".616","4.7%","28","-14.3","-1.63","32.1%","70.2%","52.8%","61.3%","86.9%","79.7%","54.3%","-0.7","43.7%","21.7%","87.8","11.3","2.8%","110.0","33.5%","254","26.1%",".234",".326","15937","649557"
"Mark Vientos","NYM","65","233","9","4.3%","30.5%",".156",".264",".211",".253",".367",".267",".305","69","-2.2","-11.2","-5.9","-0.9",".620","19.1%","19","-9.9","-1.44","37.4%","68.1%","53.0%","46.5%","77.6%","66.8%","51.0%","-2.3","38.9%","18.1%","92.5","9.5","10.7%","114.9","51.0%","149","33.8%",".234",".422","22184","668901"
"Eduardo Escobar","- - -","100","309","6","5.8%","25.2%",".118",".286",".226",".269",".344",".267",".243","66","-1.2","-14.0","-5.5","-0.9",".613","7.7%","24","-13.2","-1.93","36.5%","66.4%","50.6%","63.7%","79.4%","73.4%","47.1%","-0.7","47.9%","23.9%","86.3","14.4","3.8%","108.9","30.1%","213","29.1%",".203",".296","6153","500871"
"Paul DeJong","- - -","112","400","14","5.3%","30.3%",".148",".264",".207",".258",".355",".266",".278","66","-3.8","-20.4","9.8","0.3",".612","13.5%","32","-17.2","-2.76","35.8%","70.1%","53.2%","42.2%","79.5%","67.1%","50.7%","-1.5","44.3%","31.2%","85.5","16.8","6.7%","107.6","32.4%","253","32.0%",".218",".359","18015","657557"
"Trayce Thompson","- - -","72","179","6","13.4%","43.0%",".131",".271",".163",".285",".294",".266",".277","65","0.9","-6.7","-1.1","-0.2",".579","16.2%","14","-7.7","-1.27","19.7%","63.2%","39.9%","32.1%","70.2%","60.2%","46.6%","0.2","43.4%","26.3%","89.3","21.8","11.8%","110.1","46.1%","76","34.3%",".163",".323","9952","572204"
"Martin Maldonado","HOU","117","407","15","7.4%","34.2%",".157",".260",".191",".258",".348",".266",".269","66","-2.6","-19.0","-7.3","-1.2",".606","15.8%","32","-17.7","-2.80","31.2%","64.3%","49.0%","43.2%","77.7%","67.5%","53.7%","-1.6","46.8%","22.6%","88.4","18.1","8.5%","109.3","40.0%","235","32.3%",".185",".358","6887","455117"
