Season,Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Team,Season,Age,H,2B,LD%,GB%,FB%,HR/FB,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pull%,Cent%,Oppo%,Hard%,EV,LA,Barrel%,HardHit%,CSW%,xBA,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID
2023,"Brenton Doyle","COL",126,431,10,22,0.051044083,0.350348027,0.140350877,0.294605809,0.203007518,0.25,0.343358395,0.25730419688135664,,42.67549799755297,3.1594908516854048,-27.448602679661988,17.481460094451904,0.46200028916834224,"COL",2023,25,81,16,0.184100418,0.468619246,0.347280334,0.120481927,0.3515,0.7515,0.5204,0.4551,0.798,0.6643,0.4224,0.4252,0.3386,0.2362,0.3661,88.26008567489495,11.651765198266807,0.0866,0.3504,0.309,,,,"Brenton Doyle",25479,686668
2023,"Jake Alu","WSN",51,175,2,5,0.057142857,0.24,0.062893082,0.29059829,0.226415094,0.281609195,0.289308176,0.2560933965376054,,56.42811635819467,-0.8900733012706041,-10.336403077430115,0.29301702976226807,-0.4103609055791989,"WSN",2023,26,36,2,0.213675213,0.547008547,0.239316239,0.071428571,0.3885,0.6397,0.4985,0.7027,0.8368,0.7781,0.4381,0.4167,0.35,0.2333,0.275,88.58547008547009,5.131615271935096,0.025,0.3333,0.2878,,,,"Jake Alu",25569,666906
2023,"Will Brennan","CLE",138,455,5,13,0.035164835,0.125274725,0.090277778,0.295698924,0.266203703,0.298901098,0.356481481,0.28508058012716025,,80.74953988822323,-1.241885611321777,-11.736958042763854,-2.8587698936462402,0.0986141696994916,"CLE",2023,25,115,24,0.24668435,0.461538461,0.291777188,0.045454545,0.4224,0.7387,0.5652,0.7587,0.8994,0.8418,0.4516,0.3475,0.3899,0.2626,0.2069,85.73209549071618,9.384217765666445,0.0239,0.2918,0.2249,,,,"Will Brennan",25660,686823
2023,"Blake Sabol","SFG",110,344,13,4,0.069767441,0.340116279,0.158064517,0.329670329,0.23548387,0.30116959,0.393548387,0.3031444528646636,,92.10719872579915,-0.1981046125292778,-3.561735484677526,-3.869548797607422,0.42098776406539795,"SFG",2023,25,73,10,0.191489361,0.425531914,0.382978723,0.180555555,0.3172,0.7576,0.5096,0.4691,0.7622,0.6595,0.4368,0.3756,0.3198,0.3046,0.2995,89.0670191988032,16.1419677734375,0.1117,0.3858,0.3109,,,,"Blake Sabol",25805,666165
2023,"Jared Triolo","PIT",54,209,3,6,0.114832535,0.301435406,0.099447514,0.439655172,0.298342541,0.387559808,0.397790055,0.35001119158484717,,118.3799143919965,0.3044845317490399,5.0634054663884225,3.2868449836969376,1.5386627029018343,"PIT",2023,25,54,9,0.277310924,0.403361344,0.319327731,0.078947368,0.2925,0.6303,0.4362,0.4894,0.8222,0.694,0.4255,0.4202,0.2941,0.2857,0.3109,86.62521336659664,10.592941668855042,0.0588,0.3277,0.3119,,,,"Jared Triolo",25807,669707
2023,"Michael Toglia","COL",45,152,4,1,0.065789473,0.328947368,0.120567376,0.218390804,0.163120567,0.22368421,0.283687943,0.22549828455636375,,21.353387528520337,-0.5689710094593465,-15.378536892449803,-1.5258260369300842,-1.1722155315382763,"COL",2023,24,23,5,0.175824175,0.395604395,0.428571428,0.102564102,0.3343,0.7425,0.4983,0.319,0.8497,0.6367,0.4017,0.4066,0.2967,0.2967,0.3736,90.1953876201923,16.685934548849588,0.0549,0.4396,0.3219,,,,"Michael Toglia",25845,669911
2023,"Corbin Carroll","ARI",155,645,25,54,0.088372093,0.193798449,0.221238938,0.324582338,0.284955752,0.361502347,0.50619469,0.3702760033286104,,133.1330974342305,12.272105183918029,38.74737966535313,-6.080459833145142,5.436258964630474,"ARI",2023,22,161,30,0.18993135,0.439359267,0.370709382,0.154320987,0.3054,0.6697,0.4551,0.6819,0.8849,0.8047,0.4111,0.4267,0.3311,0.2422,0.3333,90.02390445402298,10.96988522597254,0.0756,0.4089,0.2565,,,,"Corbin Carroll",25878,682998
2023,"Francisco Alvarez","NYM",123,423,25,2,0.08037825,0.260047281,0.227748691,0.221774193,0.209424083,0.283687943,0.437172774,0.3096770731551709,,97.29293961672862,-2.757404909003526,-4.175995351811169,20.056249976158142,3.0124220669825506,"NYM",2023,21,80,12,0.131868131,0.439560439,0.428571428,0.213675213,0.2898,0.6942,0.4497,0.5599,0.8067,0.7106,0.3954,0.4432,0.3553,0.2015,0.3553,90.12820512820512,12.526520110748626,0.1245,0.4469,0.2982,,,,"Francisco Alvarez",26121,682626
2023,"Brett Baty","NYM",108,389,9,2,0.074550128,0.280205655,0.110481586,0.279661016,0.212464589,0.275324675,0.322946175,0.26559002972268436,,67.73778016350177,-0.5780671942047775,-16.125638832366178,-1.5067610144615173,-0.44423668835625696,"NYM",2023,23,75,12,0.224489795,0.502040816,0.273469387,0.134328358,0.2975,0.6637,0.4583,0.5357,0.8114,0.711,0.4391,0.3699,0.3374,0.2927,0.2846,89.5191025152439,6.575772417270072,0.0763,0.4378,0.3097,,,,"Brett Baty",26123,683146
2023,"Gunnar Henderson","BAL",150,622,28,10,0.090032154,0.255627009,0.233928572,0.305851063,0.255357142,0.324758842,0.489285714,0.34575140639395724,,122.99362556503405,5.811784641351551,22.94862570821257,3.2862409055233,4.740545243565383,"BAL",2023,22,143,29,0.190594059,0.450495049,0.358910891,0.193103448,0.2898,0.6951,0.4678,0.624,0.827,0.7564,0.4391,0.3985,0.3515,0.25,0.3936,91.99726659429281,11.415632754342433,0.1139,0.5173,0.2813,,,,"Gunnar Henderson",26289,683002
2023,"Josh Jung","TEX",122,515,23,1,0.058252427,0.293203883,0.20083682,0.339869281,0.265690376,0.314563106,0.466527196,0.33417882398494236,,110.25624354525438,-3.4385525486432016,2.8903510920357416,5.14355993270874,2.560123928795917,"TEX",2023,25,127,25,0.243161094,0.364741641,0.392097264,0.178294573,0.3613,0.7421,0.519,0.5837,0.8402,0.7356,0.4142,0.3678,0.3982,0.234,0.4103,91.76036704458842,15.016341046589178,0.1185,0.4711,0.2867,,,,"Josh Jung",26299,673962
2023,"Spencer Steer","CIN",156,665,23,15,0.102255639,0.209022556,0.192439862,0.318396226,0.271477663,0.356390977,0.463917525,0.3548397146669546,,117.90212765353068,-0.5340258749201894,14.214377729142246,-17.41836977005005,1.9268499468183347,"CIN",2023,25,158,37,0.194630872,0.375838926,0.429530201,0.119791666,0.2767,0.6511,0.4383,0.6588,0.8528,0.7832,0.4316,0.4362,0.3221,0.2416,0.3221,88.7160253244921,15.34923436620214,0.0671,0.3714,0.2816,,,,"Spencer Steer",26323,668715
2023,"Dominic Canzone","- - -",59,182,6,1,0.043956043,0.175824175,0.179190751,0.237037037,0.219653179,0.258241758,0.39884393,0.281620292873173,,78.9428990774167,-1.279446141794324,-5.905519840879386,-4.704946011304855,-0.43796551083616353,"- - -",2023,25,38,13,0.177304964,0.425531914,0.39716312,0.107142857,0.4408,0.6742,0.5438,0.6577,0.8389,0.7568,0.4413,0.5319,0.2624,0.2057,0.3972,89.70950555463209,16.34834019004876,0.1206,0.4255,0.3058,,,,"Dominic Canzone",26438,686527
2023,"Matt Wallner","MIN",76,254,14,2,0.11023622,0.314960629,0.258215962,0.327731092,0.248826291,0.37007874,0.507042253,0.37693102439872833,,143.59832300686298,0.329359985422343,13.598306105329138,-5.749879837036133,1.6501734136873896,"MIN",2023,25,53,11,0.203007518,0.32330827,0.47368421,0.222222222,0.2866,0.7412,0.4713,0.5787,0.727,0.6734,0.4063,0.4887,0.2406,0.2707,0.3684,91.87443462171052,20.994436163651315,0.188,0.4812,0.2772,,,,"Matt Wallner",26466,670242
2023,"Luis Matos","SFG",76,253,2,3,0.079051383,0.130434782,0.092105263,0.284974093,0.25,0.318725099,0.342105263,0.2949243062045945,,86.59656053480101,-0.3922206610441208,-4.593247900414721,-7.837652191519737,-0.38495747924430124,"SFG",2023,21,57,13,0.174358974,0.451282051,0.374358974,0.02739726,0.2844,0.7162,0.4617,0.7219,0.9208,0.8486,0.4107,0.4213,0.4061,0.1726,0.264,87.13659793814433,6.278453708923969,0.0203,0.3096,0.2301,,,,"Luis Matos",26467,682641
2023,"Elly De La Cruz","CIN",98,427,13,35,0.081967213,0.337236533,0.175257732,0.336206896,0.234536082,0.300469483,0.409793814,0.30457378814688246,,84.20475632401657,6.630645290948451,-1.7248639589787338,5.936509847640991,1.8623659733430615,"CIN",2023,21,91,15,0.242798353,0.53909465,0.218106995,0.245283018,0.3525,0.61,0.4519,0.6053,0.8402,0.7276,0.3858,0.439,0.3862,0.1748,0.3252,91.1694214876033,3.6489958960162707,0.0854,0.4593,0.3036,,,,"Elly De La Cruz",26668,682829
2023,"Jordan Walker","STL",117,465,16,7,0.079569892,0.223655913,0.169047619,0.331125827,0.276190476,0.341935483,0.445238095,0.34120336732556744,,116.20699107875276,-0.18452665116637945,9.151757585377679,-15.068000316619873,0.9807978138978397,"STL",2023,21,116,19,0.179245283,0.468553459,0.352201257,0.142857142,0.3671,0.7451,0.5165,0.5378,0.8574,0.7201,0.3953,0.3962,0.3679,0.2358,0.3491,89.41514072358044,10.150503482458726,0.0755,0.4245,0.2843,,,,"Jordan Walker",27475,691023
2023,"Patrick Bailey","SFG",97,353,7,1,0.059490084,0.283286118,0.125766871,0.313636363,0.233128834,0.284900284,0.358895705,0.28177785805487565,,77.78341859881421,-0.3322047693654895,-10.047827822765278,25.367690205574036,2.7200836225218854,"SFG",2023,24,76,18,0.224669603,0.431718061,0.343612334,0.089743589,0.2992,0.6651,0.4649,0.5887,0.8588,0.7637,0.4529,0.441,0.2882,0.2707,0.3216,88.66167056718062,10.156784528152533,0.1004,0.3843,0.2972,,,,"Patrick Bailey",27478,672275
2023,"Edouard Julien","MIN",109,408,16,3,0.156862745,0.31372549,0.195266272,0.370558375,0.263313609,0.38083538,0.458579881,0.3659617912564289,,135.9953335452793,-1.2258646180853248,16.371162150574847,-2.261781893670559,2.800494186915583,"MIN",2023,24,89,16,0.258215962,0.502347417,0.239436619,0.31372549,0.1717,0.6539,0.3758,0.5146,0.8138,0.735,0.4233,0.4065,0.3084,0.285,0.3271,89.45446376173709,7.9555400436473,0.1308,0.4486,0.3056,,,,"Edouard Julien",27534,666397
2023,"Casey Schmitt","SFG",90,277,5,2,0.046931407,0.234657039,0.118577075,0.252688172,0.205533596,0.255474452,0.324110671,0.25399567959082386,,59.158746801067764,-0.8098390130326152,-14.824982483966847,0.07971978187561035,-0.5346695207006464,"SFG",2023,24,52,15,0.221052631,0.394736842,0.384210526,0.06849315,0.4139,0.7382,0.5488,0.5966,0.875,0.7524,0.416,0.4072,0.3402,0.2526,0.2887,88.1468441611842,15.111105828536184,0.067,0.3402,0.2813,,,,"Casey Schmitt",27577,669477
